terms,count
murder,44
museum,44
newspap,44
novemb,44
rare,44
reflect,44
retir,44
self,44
smoke,44
truli,44
warn,44
athlet,43
bread,43
bridg,43
chees,43
conserv,43
declin,43
dish,43
downtown,43
guest,43
invest,43
militari,43
prison,43
reserv,43
sing,43
suspect,43
accus,42
avoid,42
construct,42
content,42
earth,42
equal,42
exercis,42
femal,42
giant,42
hop,42
identifi,42
internat,42
object,42
packag,42
plenti,42
pressur,42
seed,42
tough,42
typic,42
various,42
weight,42
wing,42
wood,42
applic,41
associat,41
circl,41
civil,41
command,41
constant,41
deliv,41
function,41
growth,41
histor,41
illeg,41
indic,41
marriag,41
peter,41
playoff,41
prevent,41
proper,41
ship,41
audienc,40
blame,40
bottl,40
broke,40
burn,40
constitut,40
damn,40
danger,40
debat,40
enforc,40
everybodi,40
feed,40
flight,40
frame,40
german,40
golden,40
googl,40
gun,40
ignor,40
mari,40
martin,40
mental,40
nurs,40
ocean,40
path,40
pitch,40
rice,40
rout,40
sauc,40
stress,40
sudden,40
thus,40
tournament,40
wanna,40
achiev,39
appropri,39
background,39
bright,39
colour,39
cute,39
divis,39
donat,39
establish,39
florida,39
grant,39
guid,39
hole,39
incom,39
influenc,39
joy,39
knowledg,39
meant,39
necessari,39
panel,39
quiet,39
quot,39
rank,39
ryan,39
slow,39
strength,39
stretch,39
tear,39
trail,39
wild,39
worst,39
accomplish,38
afford,38
breakfast,38
concept,38
conduct,38
declar,38
depend,38
duti,38
editor,38
fee,38
global,38
governor,38
introduc,38
joke,38
junior,38
motiv,38
older,38
opposit,38
protest,38
regist,38
regul,38
repeat,38
shake,38
shirt,38
speech,38
speed,38
stone,38
tea,38
twice,38
voter,38
wind,38
album,37
alleg,37
baltimor,37
bet,37
capit,37
captur,37
centuri,37
citizen,37
congress,37
corp,37
discov,37
ear,37
engin,37
equip,37
estim,37
famous,37
fellow,37
fix,37
georg,37
insur,37
launch,37
matt,37
photograph,37
pie,37
popul,37
prosecutor,37
rough,37
sat,37
sentenc,37
sheet,37
solut,37
ten,37
tend,37
transit,37
unless,37
wide,37
adam,36
advantag,36
advertis,36
appar,36
championship,36
chop,36
communic,36
diseas,36
entri,36
explor,36
favor,36
financ,36
graduat,36
heaven,36
instruct,36
johnson,36
juic,36
lemon,36
mobil,36
none,36
northern,36
occur,36
october,36
omg,36
plate,36
punch,36
relax,36
revenu,36
section,36
sponsor,36
unfortun,36
usa,36
veteran,36
villag,36
abus,35
agreement,35
aim,35
angel,35
argument,35
bond,35
cash,35
cat,35
compet,35
crack,35
dear,35
demonstr,35
eventu,35
forev,35
foundat,35
fri,35
greatest,35
height,35
highlight,35
incred,35
indian,35
ingredi,35
label,35
labor,35
lawyer,35
layer,35
licens,35
mad,35
map,35
observ,35
orang,35
pepper,35
pool,35
prize,35
reaction,35
recogn,35
rush,35
sea,35
slice,35
soul,35
storm,35
strike,35
televis,35
transfer,35
truck,35
wake,35
angele,34
apple,34
boston,34
champion,34
code,34
desir,34
dozen,34
drew,34
easili,34
foreign,34
gotta,34
gov,34
grace,34
illinoi,34
itali,34
jackson,34
joe,34
journey,34
kiss,34
lift,34
maintain,34
mere,34
mistak,34
odd,34
pan,34
professor,34
resort,34
scream,34
settl,34
shock,34
shut,34
soft,34
steve,34
tight,34
traffic,34
tune,34
vacat,34
wast,34
western,34
won’t,34
appoint,33
august,33
bare,33
bigger,33
blazer,33
bus,33
calm,33
chapter,33
chase,33
cheer,33
closer,33
commun,33
concert,33
cooki,33
copi,33
decemb,33
detroit,33
digit,33
educat,33
ensur,33
everyday,33
exhibit,33
experienc,33
franc,33
freedom,33
independ,33
intellig,33
largest,33
lee,33
loan,33
minor,33
neither,33
pour,33
recal,33
rep,33
salt,33
sick,33
solid,33
structur,33
suck,33
tap,33
uniqu,33
wave,33
web,33
wrap,33
youth,33
broken,32
categori,32
cell,32
chines,32
christ,32
colorado,32
commerci,32
crisi,32
domin,32
don,32
easier,32
edit,32
essenti,32
europ,32
extend,32
familiar,32
jim,32
lay,32
load,32
moon,32
moral,32
nfl,32
occupi,32
predict,32
primari,32
refus,32
richard,32
root,32
sexual,32
stuck,32
tini,32
trend,32
yall,32
zone,32
affair,31
africa,31
aspect,31
assembl,31
avenu,31
bone,31
bother,31
breath,31
bush,31
chain,31
convinc,31
decor,31
devic,31
extens,31
farmer,31
gotten,31
hasnt,31
intent,31
iphon,31
knee,31
male,31
metal,31
multipl,31
ourselv,31
potato,31
skin,31
spiritu,31
status,31
switch,31
vampir,31
weapon,31
anymor,30
appl,30
asid,30
behavior,30
british,30
chair,30
chef,30
coast,30
convent,30
deni,30
denver,30
estat,30
european,30
excel,30
expand,30
fifth,30
forgot,30
gay,30
hero,30
intens,30
irish,30
italian,30
loud,30
mass,30
net,30
oppos,30
otherwis,30
oven,30
poll,30
presidenti,30
rip,30
salad,30
sight,30
sky,30
smaller,30
smell,30
snow,30
stir,30
strang,30
strategi,30
surfac,30
surgeri,30
techniqu,30
therefor,30
thoma,30
tim,30
upset,30
vehicl,30
volum,30
walker,30
weak,30
adventur,29
aid,29
alex,29
analyst,29
anywher,29
arrang,29
attach,29
blow,29
bob,29
boyfriend,29
brian,29
creation,29
engag,29
faster,29
frustrat,29
grate,29
grill,29
grown,29
haven’t,29
highest,29
inde,29
instanc,29
jone,29
math,29
mess,29
mysteri,29
neck,29
negoti,29
occasion,29
pub,29
qualifi,29
queen,29
religi,29
remark,29
septemb,29
shall,29
shell,29
shout,29
shower,29
struck,29
stupid,29
thanksgiv,29
tom,29
weird,29
whos,29
advic,28
basketbal,28
birth,28
button,28
campus,28
ceo,28
charl,28
click,28
correct,28
curious,28
detect,28
disabl,28
document,28
drove,28
elimin,28
fabul,28
flash,28
ford,28
hello,28
instal,28
intend,28
ipad,28
jack,28
journal,28
maryland,28
massiv,28
method,28
mission,28
nick,28
nose,28
office,28
perspect,28
pound,28
presenc,28
purpos,28
retail,28
reward,28
royal,28
sam,28
slowli,28
southern,28
studio,28
swim,28
teen,28
threat,28
thrown,28
township,28
urg,28
vega,28
yellow,28
actor,27
adopt,27
ador,27
airport,27
atlanta,27
bathroom,27
bell,27
border,27
bull,27
captain,27
confus,27
cop,27
coverag,27
distinct,27
enemi,27
environ,27
era,27
facil,27
finger,27
flow,27
gener,27
guitar,27
highway,27
howard,27
hunt,27
justin,27
knock,27
london,27
marin,27
meanwhil,27
miami,27
negat,27
oppon,27
outdoor,27
pink,27
pizza,27
plane,27
prayer,27
profit,27
pure,27
random,27
religion,27
restor,27
ring,27
saint,27
sampl,27
shouldnt,27
soldier,27
somewher,27
survey,27
tablespoon,27
theater,27
transport,27
violenc,27
vision,27
wash,27
adapt,26
advis,26
aliv,26
altern,26
andrew,26
austin,26
autism,26
beef,26
boat,26
brew,26
cancel,26
cap,26
channel,26
chose,26
cloud,26
commission,26
complain,26
delici,26
devil,26
eastern,26
empti,26
england,26
escap,26
exchang,26
feb,26
frequent,26
galleri,26
greater,26
houston,26
incorpor,26
iron,26
kelli,26
let’,26
liberti,26
melt,26
miller,26
nervous,26
numer,26
olympic,26
plot,26
pursu,26
reli,26
repli,26
runner,26
santa,26
silver,26
slip,26
smart,26
somebodi,26
somehow,26
spoke,26
spray,26
teenag,26
temperatur,26
transform,26
unemploy,26
violat,26
accompani,25
acknowledg,25
alcohol,25
anniversari,25
ballot,25
basebal,25
belong,25
cathol,25
cheap,25
chip,25
clinic,25
comic,25
cooper,25
coordin,25
cruis,25
dave,25
dessert,25
diet,25
duck,25
dude,25
everywher,25
excus,25
fabric,25
factor,25
failur,25
flat,25
formal,25
fox,25
girlfriend,25
gorgeous,25
hike,25
hint,25
holi,25
ideal,25
investor,25
lane,25
lawsuit,25
liber,25
mail,25
mixtur,25
nativ,25
neighbor,25
obtain,25
payment,25
planet,25
prospect,25
recov,25
rick,25
salari,25
sentiment,25
ski,25
starter,25
suprem,25
task,25
taught,25
theatr,25
theyll,25
theyv,25
threw,25
till,25
tomato,25
ton,25
translat,25
turkey,25
ultim,25
unlik,25
user,25
vice,25
werent,25
wet,25
abandon,24
afraid,24
annoy,24
bike,24
brewer,24
brief,24
capabl,24
charm,24
cite,24
consult,24
dedic,24
destroy,24
difficulti,24
drama,24
element,24
evil,24
fake,24
fantasi,24
fewer,24
fiction,24
fortun,24
fulli,24
gym,24
hollywood,24
imposs,24
ink,24
invent,24
leadership,24
legislatur,24
lock,24
manufactur,24
metro,24
mexico,24
monitor,24
muslim,24
ncaa,24
newark,24
nobodi,24
peak,24
phoenix,24
pic,24
plain,24
politician,24
quarterback,24
reform,24
resist,24
scare,24
scout,24
sew,24
shed,24
sheriff,24
shoulder,24
smooth,24
stood,24
surround,24
tent,24
tower,24
toy,24
volunt,24
wise,24
wouldn’t,24
youd,24
“’s,23
accid,23
aggress,23
allen,23
andor,23
apolog,23
aren’t,23
ate,23
bath,23
branch,23
bunch,23
cardin,23
centr,23
chat,23
chosen,23
collaps,23
congrat,23
dare,23
deck,23
deputi,23
desper,23
disappear,23
easter,23
edward,23
environment,23
fame,23
fantast,23
flyer,23
forgiv,23
garlic,23
gate,23
gop,23
greek,23
hat,23
hed,23
heel,23
hide,23
horror,23
illustr,23
implement,23
incid,23
innov,23
jail,23
jam,23
jan,23
jeff,23
joint,23
laid,23
lawmak,23
lip,23
milk,23
oct,23
onion,23
plastic,23
portion,23
possess,23
premier,23
preserv,23
pride,23
pro,23
reject,23
roof,23
row,23
sacrific,23
sector,23
sin,23
singer,23
solo,23
strip,23
tag,23
tape,23
touchdown,23
unusu,23
veget,23
yep,23
adjust,22
assur,22
awkward,22
belief,22
belt,22
besid,22
boss,22
casino,22
cent,22
chemic,22
chill,22
cocktail,22
core,22
creek,22
daddi,22
dan,22
desert,22
dine,22
disagre,22
dramat,22
embrac,22
error,22
fenc,22
fool,22
gear,22
gentl,22
honey,22
hudson,22
hungri,22
indiana,22
info,22
injur,22
juri,22
kansa,22
kingdom,22
lineup,22
mall,22
matur,22
overcom,22
pant,22
pari,22
phrase,22
